Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
4.11843,16.064227,15.981044,15.798756,15.829217,15.525493,15.644856,15.639963,15.306572,15.937536,16.02734
4.12563,15.991129,15.903893,15.717012,15.746357,15.450109,15.570788,15.560141,15.236453,15.865219,15.94536
4.13283,15.918267,15.823455,15.635223,15.66357,15.372274,15.495874,15.477113,15.166022,15.79316,15.859538
4.14003,15.84556,15.741168,15.554987,15.582108,15.293546,15.420753,15.393709,15.097865,15.722774,15.772216
4.14723,15.773083,15.659383,15.477576,15.503197,15.216225,15.345832,15.312931,15.032697,15.653885,15.686147
4.15443,15.701549,15.5804,15.404372,15.42858,15.14287,15.272271,15.236908,14.970578,15.586285,15.603245
4.16163,15.631961,15.505762,15.3361,15.359306,15.074916,15.201107,15.16564,14.912354,15.519705,15.524552
4.16883,15.565941,15.436535,15.273084,15.295739,15.011732,15.132732,15.097906,14.859247,15.454588,15.451167
4.17603,15.505693,15.372481,15.215286,15.237757,14.951357,15.067782,15.033582,14.810939,15.392649,15.384378
4.18323,15.452317,15.313358,15.162956,15.184175,14.892657,15.007554,14.973377,14.766262,15.335675,15.324465
4.19043,15.404727,15.258648,15.11631,15.133579,14.836054,14.95327,14.918017,14.724065,15.284297,15.270881
4.19763,15.360958,15.207656,15.075046,15.085725,14.782698,14.904846,14.868369,14.6845,15.238488,15.222698
4.20483,15.320266,15.160986,15.038484,15.041054,14.734052,14.861378,14.825135,14.648024,15.197738,15.179704
4.21203,15.283442,15.119995,15.005996,15.000269,14.691596,14.822442,14.788098,14.614108,15.161445,15.141088
4.21923,15.251514,15.08504,14.977225,14.964209,14.655775,14.788427,14.755513,14.582832,15.129967,15.105923
4.22643,15.224422,15.055335,14.951905,14.933082,14.625821,14.759413,14.725215,14.555015,15.103732,15.073668
4.23363,15.201812,15.029548,14.929526,14.906297,14.599845,14.735313,14.696415,14.530325,15.082322,15.044522
4.24083,15.183696,15.006022,14.909581,14.883093,14.576158,14.716278,14.669328,14.507608,15.064968,15.018236
4.24803,15.16933,14.983423,14.891348,14.86327,14.555209,14.701738,14.644264,14.486988,15.050729,14.994757
4.25523,15.156814,14.961591,14.87469,14.847512,14.538706,14.690195,14.622287,14.469759,15.0385,14.974485
4.26243,15.145538,14.941572,14.86011,14.837213,14.52704,14.680099,14.604679,14.456555,15.027933,14.957902
4.26963,15.136775,14.925171,14.848239,14.833016,14.520276,14.671292,14.591123,14.447442,15.019692,14.945371
4.27683,15.131031,14.913223,14.83983,14.834374,14.518667,14.664242,14.580482,14.441462,15.014947,14.937108
4.28403,15.126748,14.905842,14.836451,14.839832,14.521571,14.659979,14.572895,14.438216,15.014358,14.932298
4.29123,15.123138,14.90344,14.839202,14.848014,14.527768,14.658936,14.569381,14.437309,15.01739,14.930507
4.29843,15.121283,14.906413,14.847457,14.857925,14.537297,14.660967,14.570387,14.438585,15.022771,14.932415
